index,snapshot_date,sigma
156,2025-08-15,0.14829999923706055
157,2025-08-18,0.1509000015258789
158,2025-08-19,0.14989999771118165
159,2025-08-20,0.1556999969482422
160,2025-08-21,0.15689999580383301
161,2025-08-22,0.16600000381469726
162,2025-08-25,0.1422000026702881
163,2025-08-26,0.1478999996185303
164,2025-08-27,0.14619999885559082
165,2025-08-28,0.14850000381469727
166,2025-08-29,0.1443000030517578
167,2025-09-02,0.15359999656677245
168,2025-09-03,0.17170000076293945
169,2025-09-04,0.16350000381469726
170,2025-09-05,0.15300000190734864
171,2025-09-08,0.1518000030517578
172,2025-09-09,0.15109999656677245
173,2025-09-10,0.15039999961853026
174,2025-09-11,0.15350000381469728
175,2025-09-12,0.14710000038146973
176,2025-09-15,0.14760000228881837
177,2025-09-16,0.15689999580383301
178,2025-09-17,0.16360000610351563
179,2025-09-18,0.15720000267028808
180,2025-09-19,0.15699999809265136
181,2025-09-22,0.15449999809265136
182,2025-09-23,0.16100000381469726
183,2025-09-24,0.16639999389648438
184,2025-09-25,0.16180000305175782
185,2025-09-26,0.16739999771118164
186,2025-09-29,0.15289999961853026
187,2025-09-30,0.16120000839233398
188,2025-10-01,0.16280000686645507
189,2025-10-02,0.16290000915527345
190,2025-10-03,0.166299991607666
191,2025-10-06,0.16649999618530273
192,2025-10-07,0.16370000839233398
193,2025-10-08,0.17239999771118164
194,2025-10-09,0.16299999237060547
195,2025-10-10,0.16430000305175782
196,2025-10-13,0.2165999984741211
197,2025-10-14,0.19030000686645507
198,2025-10-15,0.20809999465942383
199,2025-10-16,0.20639999389648436
200,2025-10-17,0.25309999465942384
201,2025-10-20,0.20780000686645508
202,2025-10-21,0.18229999542236328
203,2025-10-22,0.178700008392334
204,2025-10-23,0.18600000381469728
205,2025-10-24,0.17299999237060548
206,2025-10-27,0.16370000839233398
207,2025-10-28,0.15789999961853027
208,2025-10-29,0.16420000076293945
209,2025-10-30,0.16920000076293945
210,2025-10-31,0.1690999984741211
211,2025-11-03,0.17440000534057618
212,2025-11-04,0.17170000076293945
213,2025-11-05,0.19
214,2025-11-06,0.18010000228881837
215,2025-11-07,0.195
216,2025-11-10,0.19079999923706054
217,2025-11-11,0.17600000381469727
218,2025-11-12,0.17280000686645508
219,2025-11-13,0.17510000228881836
220,2025-11-14,0.2
221,2025-11-17,0.19829999923706054
222,2025-11-18,0.223799991607666
223,2025-11-19,0.24690000534057618
224,2025-11-20,0.23659999847412108
225,2025-11-21,0.2642000007629395
226,2025-11-24,0.2343000030517578
227,2025-11-25,0.2052000045776367
228,2025-11-26,0.18559999465942384
229,2025-11-28,0.17190000534057617
230,2025-12-01,0.16350000381469726
231,2025-12-02,0.17239999771118164
232,2025-12-03,0.16590000152587892
233,2025-12-04,0.16079999923706054
234,2025-12-05,0.15779999732971192
235,2025-12-08,0.1540999984741211
236,2025-12-09,0.1665999984741211
237,2025-12-10,0.16930000305175782
238,2025-12-11,0.15770000457763672
239,2025-12-12,0.14850000381469727
240,2025-12-15,0.15739999771118163
241,2025-12-16,0.165
242,2025-12-17,0.1647999954223633
243,2025-12-18,0.176200008392334
244,2025-12-19,0.16870000839233398
245,2025-12-22,0.1490999984741211
246,2025-12-23,0.14079999923706055
247,2025-12-24,0.14
248,2025-12-26,0.1347000026702881
249,2025-12-29,0.13600000381469726
250,2025-12-30,0.14199999809265137
251,2025-12-31,0.14329999923706055
252,2026-01-02,0.14949999809265135
253,2026-01-05,0.14510000228881836
254,2026-01-06,0.14899999618530274
255,2026-01-07,0.1475
256,2026-01-08,0.15380000114440917
257,2026-01-09,0.15449999809265136
258,2026-01-12,0.14489999771118164
259,2026-01-13,0.15119999885559082
260,2026-01-14,0.15979999542236328
261,2026-01-15,0.1675
262,2026-01-16,0.1584000015258789
263,2026-01-20,0.15859999656677246
264,2026-01-21,0.20090000152587892
265,2026-01-22,0.16899999618530273
266,2026-01-23,0.15640000343322755
267,2026-01-26,0.1609000015258789
268,2026-01-27,0.16149999618530272
269,2026-01-28,0.16350000381469726
270,2026-01-29,0.16350000381469726
271,2026-01-30,0.168799991607666
272,2026-02-02,0.17440000534057618
